Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier\n
Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier
AAD,28R,BOISE,ID,GS,10518,11529,10962,1377,NM,3,2710
AAD,28R,BOISE,ID,LOC,4939,6867,9470,1377,NM,3,2710
AAJ,16,BINGHAMTON,NY,GS,9083,10119,9666,6750,EA,3,2710
AAJ,16,BINGHAMTON,NY,LOC,13103,12861,10776,14139,EA,3,2710
AAM,18,FARGO,ND,GS,37381,55923,36251,14451,GL,3,2710
AAM,18,FARGO,ND,LOC,5468,4587,5555,4569,GL,3,2710
AAO,18,WICHITA,KS,GS,4642,5957,5366,2239,CE,3,2710
AAO,18,WICHITA,KS,LOC,6847,6484,8888,2565,CE,3,2710
AAQ,10,THOMSON,GA,GS,2338,2228,2342,319,SO,3,2710
AAQ,10,THOMSON,GA,LOC,19757,21166,18724,6796,SO,3,2710
AAS,23,CAMPBELLSVILL,KY,LOC,316272,-1,-1,316272,SO,,2710
AAY,22R,LITTLE ROCK,AR,GS,29955,29522,12413,91577,SW,3,2710
AAY,22R,LITTLE ROCK,AR,LOC,7716,5348,14804,18506,SW,3,2710
AAZ,12,OAKLAND,CA,GS,13664,14334,14346,5044,WP,2,2710
AAZ,12,OAKLAND,CA,LOC,13983,14489,14499,5044,WP,2,2710
ABE,06,ALLENTOWN,PA,GS,13213,12652,12625,4336,EA,3,2710
ABE,06,ALLENTOWN,PA,LOC,20709,22189,23016,4336,EA,3,2710
ABI,35R,ABILENE,TX,GS,30360,31434,29536,6536,SW,3,2710
ABI,35R,ABILENE,TX,LOC,14742,16195,14630,12060,SW,3,2710
ABK,13,INT FALLS,MN,GS,31966,35035,37085,16608,GL,X,2710
ABK,13,INT FALLS,MN,LOC,25419,31267,27622,16608,GL,X,2710
ABR,31,ABERDEEN,SD,GS,4265,926,3585,3750,GL,3,2710
ABR,31,ABERDEEN,SD,LOC,1199,1494,895,3172,GL,3,2710
ABU,27R,CHICAGO,IL,GS,10646,9026,8118,13411,GL,1,2710
ABU,27R,CHICAGO,IL,LOC,10812,10785,8418,15534,GL,1,2710
ABY,05,ALBANY,GA,GS,8226,5939,6552,25931,SO,3,2710
ABY,05,ALBANY,GA,LOC,9789,10151,4987,25931,SO,3,2710
ACD,29,GRAND JCT,CO,LOC,13754,18830,19858,7037,NM,3,2710
ACJ,23,AMERICUS,GA,GS,39234,47637,47581,14192,SO,X,2710
ACJ,23,AMERICUS,GA,LOC,4676,14851,34851,991,SO,X,2710
ACK,24,NANTUCKET,MA,GS,6178,10616,11503,877,NE,3,2710
ACK,24,NANTUCKET,MA,LOC,411,0,354,877,NE,3,2710
ACT,19,WACO,TX,GS,12186,14178,12736,1013,SW,3,2710
ACT,19,WACO,TX,LOC,3239,3109,3078,2121,SW,3,2710
ACV,32,ARCATA,CA,GS,7439,7466,6784,21316,NM,1,2710
ACV,32,ARCATA,CA,LOC,6377,4762,3204,15864,NM,1,2710
ACX,17R,DENVER,CO,GS,21826,22487,13031,50253,NM,1,2710
ACX,17R,DENVER,CO,LOC,12035,11868,11773,50253,NM,1,2710
ACY,31,ATLANTIC CITY,NJ,GS,6200,5540,4157,11625,EA,3,2710
ACY,31,ATLANTIC CITY,NJ,LOC,11188,12109,11329,5598,EA,3,2710
ADE,16L,EUGENE,OR,GS,6651,6300,4693,18272,NM,3,2710
ADE,16L,EUGENE,OR,LOC,8379,6706,3843,22729,NM,3,2710
ADI,28L,FT LAUDERDALE,FL,GS,15325,14307,20301,396,SO,1,2710
ADI,28L,FT LAUDERDALE,FL,LOC,5441,9672,7451,396,SO,1,2710
ADJ,12,WENATCHEE,WA,GS,7454,11768,20271,14472,NM,3,2710
ADJ,12,WENATCHEE,WA,LOC,3844,4761,4807,222,NM,3,2710
ADQ,26,KODIAK,AK,GS,2391,2020,2305,1679,AL,3,2710
ADQ,26,KODIAK,AK,LOC,3511,1561,3735,1679,AL,3,2710
ADR,05,ELIZABETHTOWN,KY,GS,2424,-1,-1,2424,SO,3,2710
ADR,05,ELIZABETHTOWN,KY,LOC,10805,9795,12432,14069,SO,2,2710
ADS,15,ADDISON,TX,GS,4450,3857,4600,2742,SW,3,2710
ADS,15,ADDISON,TX,LOC,2639,2632,2510,650,SW,3,2710
AEF,25,MARION,OH,LOC,73596,74622,8777,138414,GL,,2710
AEG,22,DOUBLE EAGLE,NM,GS,1300,0,1278,3987,SW,3,2710
AEG,22,DOUBLE EAGLE,NM,LOC,9508,11394,8773,3740,SW,3,2710
AFA,27R,ATLANTA,GA,GS,34477,33993,13243,114945,SO,1,2710
AFA,27R,ATLANTA,GA,LOC,31822,32126,31568,3527,SO,1,2710
AFJ,27,WASHINGTON,PA,GS,4341,4976,4159,2645,EA,3,2710
AFJ,27,WASHINGTON,PA,LOC,4657,5011,5378,4608,EA,3,2710
AFP,34,WADESBORO,NC,GS,4487,1183,1846,13226,SO,1,2710
AFP,34,WADESBORO,NC,LOC,46210,47301,182,92238,SO,1,2710
AGC,28,ALLEGHENY,PA,GS,11676,11477,11204,3488,EA,3,2710
AGC,28,ALLEGHENY,PA,LOC,5502,5811,5652,2569,EA,3,2710
AGS,35,AUGUSTA,GA,GS,3971,2090,3798,867,SO,3,2710
AGS,35,AUGUSTA,GA,LOC,361,0,529,198,SO,3,2710
AGY,34L,RENO,NV,GS,3257,2266,2233,6989,WP,3,2710
AGY,34L,RENO,NV,LOC,14158,14842,10890,23921,WP,3,2710
AHA,07R,PHOENIX,AZ,GS,17452,17736,10769,33438,WP,1,2710
AHA,07R,PHOENIX,AZ,LOC,12791,12653,7700,29050,WP,1,2710
AHI,35R,COLORADO SPGS,CO,GS,12116,12532,6944,25874,NM,3,2710
AHI,35R,COLORADO SPGS,CO,LOC,5781,5380,5946,9746,NM,3,2710
AHN,27,ATHENS,GA,GS,16401,33371,42502,9848,SO,X,2710
AHN,27,ATHENS,GA,LOC,101999,64601,148075,9848,SO,X,2710
AID,30,ANDERSON,IN,GS,14472,13370,10327,21970,GL,3,2710
AID,30,ANDERSON,IN,LOC,7296,8456,7899,4202,GL,3,2710
AIK,07,AIKEN,SC,GS,16679,17062,12977,19444,SO,3,2710
AIK,07,AIKEN,SC,LOC,18179,18476,12467,28569,SO,3,2710
AIW,31,ARDMORE,OK,GS,16537,18292,18757,3726,SW,3,2710
AIW,31,ARDMORE,OK,LOC,4599,4475,2848,11091,SW,3,2710
AIZ,22,KAISER,MO,LOC,129384,117961,237954,20813,CE,X,2710
AJQ,35R,DAL-FT WORTH,TX,GS,2917,2549,2322,2978,SW,1,2710
AJQ,35R,DAL-FT WORTH,TX,LOC,11762,12386,11614,19379,SW,1,2710
AJU,12,DULLES,VA,GS,2871,2496,337,14097,EA,1,2710
AJU,12,DULLES,VA,LOC,16498,16736,12382,25294,EA,1,2710
AJY,10,ASHLAND,KY,LOC,393696,-1,-1,393696,EA,,2710
AKN,12,KING SALMON,AK,GS,3284,1532,1858,7442,AL,3,2710
AKN,12,KING SALMON,AK,LOC,1138,1151,1135,244,AL,3,2710
AKR,25,AKRON,OH,LOC,4304,4493,2789,7688,GL,2,2710
ALA,04L,ROMULUS,MI,GS,13035,14814,17299,4739,GL,1,2710
ALA,04L,ROMULUS,MI,LOC,10743,9174,12495,28600,GL,1,2710
ALB,19,ALBANY,NY,GS,3974,5924,6980,2580,EA,3,2710
ALB,19,ALBANY,NY,LOC,7272,4546,4272,18540,EA,3,2710
ALI,31,ALICE,TX,LOC,28895,29602,27852,7759,SW,3,2710
ALN,29,ALTON,IL,GS,3972,4401,4111,9946,GL,3,2710
ALN,29,ALTON,IL,LOC,5706,5803,1327,22810,GL,3,2710
ALO,12,WATERLOO,IA,GS,5048,5783,6863,746,CE,3,2710
ALO,12,WATERLOO,IA,LOC,1720,1513,1887,746,CE,3,2710
ALW,20,WALLA WALLA,WA,GS,8959,14560,21604,8018,NM,3,2710
ALW,20,WALLA WALLA,WA,LOC,10470,12835,12895,5735,NM,3,2710
AMA,04,AMARILLO,TX,GS,7717,11455,13302,461,SW,3,2710
AMA,04,AMARILLO,TX,LOC,5685,6031,4741,4803,SW,3,2710
AMP,01L,TAMPA,FL,GS,13440,13007,8127,28132,SO,1,2710
AMP,01L,TAMPA,FL,LOC,1548,0,1578,2170,SO,1,2710
ANB,05,ANNISTON,AL,GS,4061,4655,5351,219,SO,3,2710
ANB,05,ANNISTON,AL,LOC,9828,10226,9729,507,SO,3,2710
ANC,07R,ANCHORAGE,AK,GS,16608,18860,19082,14143,AL,2,2710
ANC,07R,ANCHORAGE,AK,LOC,13774,20247,23021,2275,AL,2,2710
AND,05,ANDERSON,SC,GS,3196,3449,2656,4016,SO,3,2710
AND,05,ANDERSON,SC,LOC,2063,2275,694,7084,SO,3,2710
ANE,27,MINNEAPOLIS,MN,GS,32542,26837,32269,33363,GL,X,2710
ANE,27,MINNEAPOLIS,MN,LOC,13714,9663,8859,45703,GL,X,2710
ANI,11,ANIAK,AK,GS,1874,1367,1637,1201,AL,3,2710
ANI,11,ANIAK,AK,LOC,4637,4762,3416,7041,AL,3,2710
ANT,13R,SAN ANTONIO,TX,GS,3491,3838,7751,9030,SW,2,2710
ANT,13R,SAN ANTONIO,TX,LOC,2721,2490,2422,1663,SW,2,2710
AOD,08L,ONTARIO,CA,GS,8598,6390,3666,28949,WP,3,2710
AOD,08L,ONTARIO,CA,LOC,3371,0,6272,9239,WP,3,2710
AOH,28,LIMA,OH,GS,5750,5965,8764,12696,GL,3,2710
AOH,28,LIMA,OH,LOC,9705,9921,10578,3173,GL,3,2710
AOO,21,ALTOONA,PA,GS,8320,8945,9623,2406,EA,3,2710
AOO,21,ALTOONA,PA,LOC,8762,7336,3787,25542,EA,3,2710
APA,35R,ENGLEWOOD,CO,GS,6644,6211,2883,20026,NM,3,2710
APA,35R,ENGLEWOOD,CO,LOC,9666,9896,9638,11818,NM,3,2710
APC,01L,NAPA,CA,GS,481,642,452,150,WP,3,2710
APC,01L,NAPA,CA,LOC,6537,6937,5283,6273,WP,3,2710
APL,04,MINNEAPOLIS,MN,LOC,19879,19978,23219,13200,GL,1,2710
APN,01,ALPENA,MI,GS,12709,12751,3931,46571,GL,3,2710
APN,01,ALPENA,MI,LOC,5869,5064,4539,7517,GL,3,2710
APU,23,CHARLOTTE,NC,GS,11497,10742,8888,14076,SO,1,2710
APU,23,CHARLOTTE,NC,LOC,12126,12497,3106,46370,SO,1,2710
AQD,35L,DENVER,CO,GS,55399,57091,28531,109137,NM,1,2710
AQD,35L,DENVER,CO,LOC,35720,41144,31839,28186,NM,1,2710
AQI,10R,COLUMBUS,OH,GS,8845,9214,8286,3173,GL,2,2710
AQI,10R,COLUMBUS,OH,LOC,21792,23206,28257,8861,GL,2,2710
AQZ,30,APPLETON,WI,GS,1822,1018,1020,4062,GL,3,2710
AQZ,30,APPLETON,WI,LOC,4957,5355,2499,15579,GL,3,2710
ARA,35,NEW IBERIA,LA,GS,55632,-1,-1,55632,SW,X,2710
ARA,35,NEW IBERIA,LA,LOC,6968,10143,9794,4703,SW,X,2710
ARG,18,WALNUT RIDGE,AR,LOC,45647,46201,9143,118656,SW,3,2710
ARJ,23,WARWICK,RI,GS,16327,16549,3688,63197,NE,3,2710
ARJ,23,WARWICK,RI,LOC,19380,20407,16896,20163,NE,3,2710
ARK,17L,ORLANDO,FL,GS,9872,14177,11558,9077,SO,1,2710
ARK,17L,ORLANDO,FL,LOC,17053,16425,14181,20718,SO,1,2710
ARR,09,AURORA,IL,GS,12187,13073,9766,23334,GL,3,2710
ARR,09,AURORA,IL,LOC,4959,4220,4680,2406,GL,3,2710
ART,07,WATERTOWN,NY,GS,11301,13690,14515,539,EA,3,2710
